section offset:-60000 bpm:60
a MoveCamera Position 2 13 0 0 -2 easeinoutsine
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:120
n short lt 39
n long rc 39 40
n short lc 40
n short rb 40.5
n short rb 40.75
n long lb 41.25 42
n swipe Out rc 42
n short rb 45
n long lc 45 46
n short rc 46
n short lt 46.5
n short lt 46.75
n long rt 47.25 48
n swipe Out lc 48
n short lt 51
n long rc 51 52
n short lc 52
n short rb 52.5
n short rb 52.75
n long lb 53.25 54
n long rc 54 55
n short lc 55
n short rt 55.5
n short rt 55.75
n long lt 56.25 57
n short rc 57
n catch rc 57.25
n catch rc 57.5
n catch rc 57.75
n catch rc 58
n catch rc 58.25
n catch rc 58.5
n catch rc 58.75
n catch rc 59
n catch rc 60
n short rb 63
n short rb 63.25
n short rt 63.5
n short rb 63.75
n short rb 64
n short rt 64.25
n short rb 64.5
n short rb 64.75
n short rt 65
n short rb 65.25
n short rt 65.5
n short rb 65.75
n short rt 66
n short rt 66.25
n short rb 66.5
n short rt 66.75
n short rb 67
n short rt 67.25
n short rb 67.5
n short rb 67.75
n short rt 68
n short rb 68.25
n short rt 68.5
n short rb 68.75
n short rt 69
n short rt 69.25
n short rb 69.5
n short rt 69.75
n short rb 70
n short rt 70.25
n short rb 70.5
n short rb 70.75
n short rt 71
n short rb 71.25
n short rt 71.5
n short rb 71.75
n short rt 72
n short rt 72.25
n short rb 72.5
n short rt 72.75
n short rb 73
n short rt 73.25
n short rb 73.5
n short rb 73.75
n short rt 74
n short rb 74.25
n short rt 74.5
n short rb 74.75
n short rt 75
n short rt 75.25
n short rb 75.5
n short rt 75.75
n short rt 76
n short rb 76.25
n short rt 76.5
n short rt 76.75
n short rb 77
n short rt 77.25
n short rb 77.5
n short rt 77.75
n short rb 78
n short rt 78.25
n short rb 78.5
n short rt 78.75
n short rb 79
n short rt 79.25
n short rb 79.5
n short rt 79.75
n short rb 80
n short rt 80.25
n short rb 80.5
n short rt 80.75
n short rb 81
n short rb 81.25
n short rt 81.5
n short rb 81.75
n short rt 82
n short rb 82.25
n short rt 82.5
n short rt 82.75
n short rb 83
n short rt 83.25
n short rb 83.5
n short rt 83.75
n short rb 84
n short rb 84.25
n short rt 84.5
n short rb 84.75
n short rt 85
n short rb 85.25
n short rt 85.5
n short rt 85.75
n short rb 86
n short rt 86.25
n short rb 86.5
n short rt 86.75
n short rb 87
