section offset:620 bpm:149
n short lb 3
n short lc 7
n short lt 11
n short rt 15
n short rc 19
n short rb 23
n short rb 27
n short lb 31
section offset:14581 bpm:158
n short lc 0
n short rc 0
n short lb 4
n short rb 8
n short rc 12
n short lt 16
n short rt 16
n short lc 20
n long lb 24 28
n short lt 32
n short lt 34
n short lt 36
n short rt 40
n short rt 42
n short rt 44
n short rc 48
n short rc 50
n short rc 52
n compound rb 56 60 6
n short rt 64
n short rt 66
n short rt 68
n short lt 72
n short lt 74
n short lt 76
n short lc 80
n short lc 82
n short lc 84
n compound lb 88 92 6
n catch rc 98
n catch rt 102
n catch lt 106
n catch lc 110
n catch lb 114
n catch rb 118
n catch rc 122
n clong rt 124 127.5
n short lt 132
n short lc 134
n short lc 135
n short lc 136
n short lb 138
n short lb 139
n short lb 140
n short rb 142
n short rb 143
n short rb 144
n short rt 146
n short rt 147
n short rt 148
n short rc 150
n short rc 151
n short rc 152
n short rb 154
n short lb 156
n short lc 158
n long lt 160 162
n short rt 164
n short rc 166
n short rc 167
n short rc 168
n short rb 170
n short rb 171
n short rb 172
n short lb 174
n short lb 175
n short lb 176
n short lt 178
n short lt 179
n short lt 180
n short lc 182
n short lc 183
n short lc 184
n short lb 186
n short rb 188
n short rc 190
n long rt 192 194
n catch lb 196
n catch lc 200
n catch lt 204
n catch rt 208
n catch rc 212
n catch rb 216
n catch lb 220
n catch lc 224
n catch lt 228
n catch lt 230
n catch lc 232
n catch lc 234
n catch lb 236
n catch lb 238
n catch rb 240
n catch rb 242
n catch rc 244
n catch rc 246
n catch rt 248
n catch rt 250
n catch lt 252
n catch lt 254
n compound lt 256 260 6
n short rb 264
n short rb 268
n short rb 272
n short rb 276
n short lb 280
n short lb 284
n short lb 288
n short lb 292
n short rc 307
n short rc 307
n short rc 308
n short rc 308
n short lt 310
n short lt 310
n short lt 311
n short lt 311
n short lt 312
n short lt 312
n short rt 314
n short rt 314
n short rt 315
n short rt 315
n short rt 316
n short rt 316
n short rc 318
n short rc 318
n short rb 320
n short rb 320
n short lb 322
n short lb 322
n long lc 324 326
n long lc 324 326
